{'step': 0, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 1, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 2, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 3, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 4, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 5, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 6, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 7, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 8, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 9, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 10, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 11, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 12, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 13, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 14, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 15, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 16, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 17, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 18, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 19, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 20, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 21, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 22, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 23, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
